"acct_id","event_type","date"
"e3731213-a6d4-416e-a14e-da6fc7e37489","workplace event",2020-03-14
"5b49f7e5-b3a9-4555-b788-03896e5c56f5","group call",2019-07-09
"14a34247-8fc4-4654-897b-d850c719c17e","group call",2019-03-14
"959c0138-605d-4e18-9e2d-aa83ec6a5790","f2f",2019-05-03
"c1ca79b6-c9e2-45cb-ab2e-32b3086a4d9f","group call",2019-01-11
"6c1223f2-bc72-4b0b-93ce-5f10451d0ec4","f2f",2020-05-06
"718e2a13-054e-4107-97cb-ac5835fbc185","group call",2019-12-12
"b093aa6d-1272-42a4-bdf6-971dd7cce4fe","f2f",2020-03-07
"04af7004-35b5-4ed7-a641-0d0d57f3c008","f2f",2019-10-14
"e1a06648-1501-4043-bb59-7dbc0e3550e0","group call",2019-07-31
"c1ca79b6-c9e2-45cb-ab2e-32b3086a4d9f","f2f",2019-10-01
"9864cbfb-6165-4a37-b2d1-9ba53ea15ae6","group call",2019-06-21
"0e50c2ec-a78d-414b-8db7-8dbd5530b995","f2f",2019-07-04
"6c1223f2-bc72-4b0b-93ce-5f10451d0ec4","workplace event",2020-01-09
"7f57b40e-4212-43cd-b562-526e4fe60ddf","f2f",2020-03-22
"f51ae438-3ada-405b-ad1e-f1d9bee81c62","workplace event",2019-08-28
"de29d6a7-afc9-4da7-9ce8-10ec1e20487e","f2f",2019-05-13
"10acbb0a-9b1c-478c-b8c4-e875f595e06a","f2f",2019-05-12
"a1f59472-0759-437c-bf8b-75e1e01b8916","group call",2020-02-26
"f71b6001-d98a-4ee7-8a7e-27ed48b0afce","workplace event",2020-04-22
"6506107c-3ac2-489f-8227-5951023621bd","f2f",2019-11-04
"3f8837dc-7865-4a05-88ea-ecc1a0565f01","group call",2019-07-22
"09614708-6ad1-49fb-8f92-f208dfb281eb","workplace event",2019-02-25
"1e87bd4f-067d-4110-bae7-33a45be6e073","workplace event",2019-04-30
"6d890274-bf4e-4ecf-a87e-f498bf1f8cc5","f2f",2020-04-07
"97a538e2-3ab0-47c4-bb11-c79374557f36","f2f",2019-09-08
"c7e4d36d-0ba5-4a2d-a6ab-981674a65b1f","f2f",2020-04-12
